timestamp,latitude,longitude,elevation,accuracy,bearing,speed_meters_per_second,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,distance_meters,elapsed_time_seconds
1577218696.999,-27.717812364332268,-51.09889510516885,948.7708362395846,24.0,159.73294,0.053275008,0,gps,0.8,1.7,1.9,3.6,,,,87,,0.0,0.0
1577218698.999,-27.71781822273656,-51.0988403106898,970.378820307201,12.0,,0.0,12,gps,0.8,1.5,1.7,3.6,,,,87,,5.442519936697844,2.0
1577218703.999,-27.717831784825872,-51.09887129159296,989.3742668772552,4.0,,0.0,13,gps,0.8,1.6,1.8,3.6,,,,86,,3.4048713554060273,5.0
1577218704.999,-27.717832682083564,-51.098867135669664,988.4391388726976,4.0,,0.0,14,gps,0.8,1.7,1.9,3.6,,,,86,,0.4217327804282154,1.0
1577218705.999,-27.71783451472317,-51.09887258274184,987.6687298563002,4.0,,0.0,14,gps,0.8,1.6,1.8,3.6,,,,86,,0.5742806088669303,1.0
1577218706.999,-27.717832531355896,-51.09887347720272,987.5702329611892,4.0,,0.0,14,gps,0.8,1.6,1.8,3.6,,,,86,,0.23682694745157343,1.0
1577218707.999,-27.71783212249062,-51.098873241728434,987.2835527282032,4.0,,0.0,14,gps,0.8,1.7,1.9,3.6,,,,86,,0.05091264864273817,1.0
1577218708.999,-27.7178359292753,-51.0988759435579,987.1538377825289,4.0,,0.0,14,gps,0.8,1.6,1.8,3.6,,,,86,,0.49894855579415215,1.0
1577218709.999,-27.717838519752657,-51.09887822597366,986.771461015203,4.0,,0.0,14,gps,0.8,1.6,1.8,3.6,,,,86,,0.3647857061579589,1.0
1577218710.999,-27.71783877010622,-51.09887950491306,986.6731816529096,4.0,,0.0,14,gps,0.8,1.7,1.9,3.6,,,,86,,0.12914019696372328,1.0
1577218711.999,-27.717839953923107,-51.098876700918325,986.1670558048442,4.0,315.85168,0.10140178,14,gps,0.8,1.7,1.9,3.6,,,,86,,0.3060610770359746,1.0
1577218712.999,-27.717840157218184,-51.098876658424736,985.9185287282291,4.0,316.12387,0.056577712,14,gps,0.8,1.6,1.8,3.6,,,,86,,0.022914570016495252,1.0
1577218713.999,-27.7178400513806,-51.09887629152976,985.8295750352167,4.0,316.15497,0.033049334,14,gps,0.8,1.6,1.8,3.6,,,,86,,0.038035443782464526,1.0
1577218715.999,-27.71783920801936,-51.09887279550131,985.5675384861668,4.0,315.31592,0.014422788,14,gps,0.8,1.6,1.8,3.6,,,,86,,0.35720974402357997,2.0
1577218716.999,-27.71783980967069,-51.09887444819389,985.5208222509278,4.0,202.94612,0.022567842,14,gps,0.8,1.6,1.8,3.6,,,,86,,0.17609297433344911,1.0
1577218718.999,-27.71784033669363,-51.09887181515436,985.2182982477086,4.0,202.37297,0.0127449455,14,gps,0.8,1.6,1.8,3.6,,,,86,,0.26614888863241704,2.0
1577218719.999,-27.717840809467656,-51.09887077581463,985.1971462612344,4.0,203.55011,0.009266041,14,gps,0.8,1.6,1.8,3.6,,,,86,,0.11510984843275462,1.0
1577218720.999,-27.717840659175707,-51.09886942505261,984.999615016292,4.0,202.28667,0.0071639842,14,gps,0.8,1.6,1.8,3.6,,,,86,,0.1342450433030872,1.0
1577218722.999,-27.717841161950872,-51.09886629364619,984.8059141550948,4.0,196.1125,0.0055752643,14,gps,0.8,1.6,1.8,3.6,,,,86,,0.31379531297610175,2.0
1577218723.999,-27.71784124374961,-51.09886622383985,984.7738832441852,4.0,196.18057,0.003451408,14,gps,0.8,1.6,1.8,3.6,,,,86,,0.0113822733703196,1.0
1577218725.999,-27.717842542909523,-51.09886492064746,984.7751382250078,4.0,209.80576,0.005236584,15,gps,0.8,1.4,1.6,3.6,,,,86,,0.19298408107666057,2.0
1577218726.999,-27.7178424476192,-51.09886502068645,984.8340475962052,4.0,208.43422,0.0047761174,15,gps,0.8,1.4,1.6,3.6,,,,86,,0.014451079346957782,1.0
1577218728.999,-27.717843416118114,-51.09886470557289,985.0002871763156,4.0,195.78238,0.016679863,15,gps,0.8,1.6,1.8,3.6,,,,86,,0.11173251953748042,2.0
1577218729.999,-27.71784309945578,-51.09886508303606,985.1738128569884,4.0,196.13872,0.010623721,15,gps,0.8,1.6,1.8,3.6,,,,86,,0.05115677960425049,1.0
